Time,Input
0.0,0.0
1e-08,-1.0
2e-08,-1.0
3.0000000000000004e-08,-1.0
4e-08,-1.0
5e-08,-1.0
6.000000000000001e-08,-1.0
7e-08,-1.0
8e-08,-1.0
9e-08,-1.0
1e-07,-1.0
1.1e-07,-1.0
1.2000000000000002e-07,-1.0
1.3e-07,-1.0
1.4e-07,-1.0
1.5e-07,-1.0
1.6e-07,-1.0
1.7000000000000001e-07,-1.0
1.8e-07,-1.0
1.9e-07,-1.0
2e-07,-1.0
2.1e-07,-1.0
2.2e-07,-1.0
2.3e-07,-1.0
2.4000000000000003e-07,-1.0
2.5e-07,-1.0
2.6e-07,-1.0
2.7e-07,-1.0
2.8e-07,-1.0
2.9000000000000003e-07,-1.0
3e-07,-1.0
3.1e-07,-1.0
3.2e-07,-1.0
3.3e-07,-1.0
3.4000000000000003e-07,-1.0
3.5e-07,-1.0
3.6e-07,-1.0
3.7e-07,-1.0
3.8e-07,-1.0
3.9e-07,-1.0
4e-07,-1.0
4.1e-07,-1.0
4.2e-07,-1.0
4.3e-07,-1.0
4.4e-07,-1.0
4.5000000000000003e-07,-1.0
4.6e-07,-1.0
4.7e-07,-1.0
4.800000000000001e-07,-1.0
4.9e-07,-1.0
5e-07,-1.0
5.1e-07,-1.0
5.2e-07,-1.0
5.3e-07,-1.0
5.4e-07,-1.0
5.5e-07,-1.0
5.6e-07,-1.0
5.7e-07,-1.0
5.800000000000001e-07,-1.0
5.9e-07,-1.0
6e-07,-1.0
6.1e-07,-1.0
6.2e-07,-1.0
6.3e-07,-1.0
6.4e-07,-1.0
6.5e-07,-1.0
6.6e-07,-1.0
6.7e-07,-1.0
6.800000000000001e-07,-1.0
6.900000000000001e-07,-1.0
7e-07,-1.0
7.1e-07,-1.0
7.2e-07,-1.0
7.3e-07,-1.0
7.4e-07,-1.0
7.5e-07,-1.0
7.6e-07,-1.0
7.7e-07,-1.0
7.8e-07,-1.0
7.900000000000001e-07,-1.0
8e-07,-1.0
8.1e-07,-1.0
8.2e-07,-1.0
8.3e-07,-1.0
8.4e-07,-1.0
8.5e-07,-1.0
8.6e-07,-1.0
8.7e-07,-1.0
8.8e-07,-1.0
8.900000000000001e-07,-1.0
9.000000000000001e-07,-1.0
9.1e-07,-1.0
9.2e-07,-1.0
9.3e-07,-1.0
9.4e-07,-1.0
9.5e-07,-1.0
9.600000000000001e-07,-1.0
9.7e-07,-1.0
9.8e-07,-1.0
9.9e-07,-1.0
1e-06,-1.0
1.01e-06,-1.0
1.02e-06,-1.0
1.03e-06,-1.0
1.04e-06,-1.0
1.0500000000000001e-06,-1.0
1.06e-06,-1.0
1.07e-06,-1.0
1.08e-06,-1.0
1.09e-06,-1.0
1.1e-06,-1.0
1.11e-06,-1.0
1.12e-06,-1.0
1.13e-06,-1.0
1.14e-06,-1.0
1.15e-06,-1.0
1.1600000000000001e-06,-1.0
1.17e-06,-1.0
1.18e-06,-1.0
1.19e-06,-1.0
1.2e-06,-1.0
1.21e-06,-1.0
1.22e-06,-1.0
1.23e-06,-1.0
1.24e-06,-1.0
1.25e-06,-1.0
1.26e-06,-1.0
1.2700000000000001e-06,-1.0
1.28e-06,-1.0
