Time,Input
0.0,-0.0
1e-08,-0.0015700106761382894
2e-08,-0.003140017482302247
3.0000000000000004e-08,-0.004710016548527079
4e-08,-0.006280004004867072
5e-08,-0.007849975981405128
6.000000000000001e-08,-0.009419928608262306
7e-08,-0.010989858015607366
8e-08,-0.012559760333666292
9e-08,-0.014129631692731851
1e-07,-0.01569946822317312
1.1e-07,-0.01726926605544502
1.2000000000000002e-07,-0.018839021320097866
1.3e-07,-0.020408730147786904
1.4e-07,-0.021978388669281833
1.5e-07,-0.023547993015476356
1.6e-07,-0.025117539317397727
1.7000000000000001e-07,-0.026687023706216263
1.8e-07,-0.02825644231325489
1.9e-07,-0.029825791269998698
2e-07,-0.03139506670810444
2.1e-07,-0.032964264759410104
2.2e-07,-0.034533381555944424
2.3e-07,-0.03610241322993642
2.4000000000000003e-07,-0.03767135591382494
2.5e-07,-0.03924020574026818
2.6e-07,-0.040808958842153235
2.7e-07,-0.0423776113526056
2.8e-07,-0.04394615940499874
2.9000000000000003e-07,-0.045514599132963594
3e-07,-0.047082926670398116
3.1e-07,-0.0486511381514768
3.2e-07,-0.050219229710660215
3.3e-07,-0.05178719748270453
3.4000000000000003e-07,-0.053355037602671025
3.5e-07,-0.054922746205935666
3.6e-07,-0.05649031942819856
3.7e-07,-0.05805775340549356
3.8e-07,-0.05962504427419772
3.9e-07,-0.061192188171040864
4e-07,-0.06275918123311507
4.1e-07,-0.06432601959788424
4.2e-07,-0.06589269940319359
4.3e-07,-0.06745921678727913
4.4e-07,-0.06902556788877733
4.5000000000000003e-07,-0.07059174884673441
4.6e-07,-0.07215775580061608
4.7e-07,-0.07372358489031691
4.800000000000001e-07,-0.0752892322561699
4.9e-07,-0.07685469403895603
5e-07,-0.07841996637991365
5.1e-07,-0.07998504542074815
5.2e-07,-0.08154992730364131
5.3e-07,-0.083114608171261
5.4e-07,-0.0846790841667705
5.5e-07,-0.08624335143383807
5.6e-07,-0.08780740611664657
5.7e-07,-0.08937124435990275
5.800000000000001e-07,-0.09093486230884694
5.9e-07,-0.0924982561092625
6e-07,-0.0940614219074852
6.1e-07,-0.09562435585041296
6.2e-07,-0.09718705408551508
6.3e-07,-0.09874951276084194
6.4e-07,-0.10031172802503441
6.5e-07,-0.10187369602733332
6.6e-07,-0.10343541291758902
6.7e-07,-0.10499687484627082
6.800000000000001e-07,-0.1065580779644765
6.900000000000001e-07,-0.10811901842394177
7e-07,-0.1096796923770498
7.1e-07,-0.11124009597684067
7.2e-07,-0.11280022537702089
7.3e-07,-0.11436007673197282
7.4e-07,-0.11591964619676416
7.5e-07,-0.11747892992715754
7.6e-07,-0.11903792407961981
7.7e-07,-0.12059662481133168
7.8e-07,-0.12215502828019709
7.900000000000001e-07,-0.1237131306448527
8e-07,-0.12527092806467743
8.1e-07,-0.1268284166998018
8.2e-07,-0.1283855927111175
8.3e-07,-0.12994245226028683
8.4e-07,-0.13149899150975208
8.5e-07,-0.13305520662274517
8.6e-07,-0.1346110937632969
8.7e-07,-0.1361666490962466
8.8e-07,-0.13772186878725134
8.900000000000001e-07,-0.13927674900279563
9.000000000000001e-07,-0.14083128591020072
9.1e-07,-0.14238547567763415
9.2e-07,-0.14393931447411912
9.3e-07,-0.14549279846954388
9.4e-07,-0.1470459238346713
9.5e-07,-0.14859868674114826
9.600000000000001e-07,-0.15015108336151503
9.7e-07,-0.15170310986921481
9.8e-07,-0.15325476243860311
9.9e-07,-0.15480603724495706
1e-06,-0.15635693046448507
1.01e-06,-0.1579074382743361
1.02e-06,-0.15945755685260912
1.03e-06,-0.16100728237836248
1.04e-06,-0.1625566110316235
1.0500000000000001e-06,-0.1641055389933976
1.06e-06,-0.16565406244567807
1.07e-06,-0.16720217757145514
1.08e-06,-0.1687498805547256
1.09e-06,-0.17029716758050206
1.1e-06,-0.1718440348348226
1.11e-06,-0.17339047850475992
1.12e-06,-0.17493649477843076
1.13e-06,-0.1764820798450055
1.14e-06,-0.17802722989471728
1.15e-06,-0.17957194111887162
1.1600000000000001e-06,-0.18111620970985573
1.17e-06,-0.18266003186114785
1.18e-06,-0.1842034037673266
1.19e-06,-0.18574632162408053
1.2e-06,-0.18728878162821733
1.21e-06,-0.1888307799776733
1.22e-06,-0.19037231287152265
1.23e-06,-0.19191337650998697
1.24e-06,-0.19345396709444443
1.25e-06,-0.19499408082743935
1.26e-06,-0.19653371391269148
1.2700000000000001e-06,-0.1980728625551052
1.28e-06,-0.19961152296077908
1.29e-06,-0.2011496913370152
1.3e-06,-0.20268736389232841
1.31e-06,-0.2042245368364558
1.32e-06,-0.20576120638036585
1.33e-06,-0.20729736873626797
1.34e-06,-0.20883302011762175
1.35e-06,-0.21036815673914627
1.3600000000000001e-06,-0.21190277481682954
1.37e-06,-0.2134368705679376
1.3800000000000001e-06,-0.21497044021102407
1.39e-06,-0.21650347996593947
1.4e-06,-0.21803598605384034
1.41e-06,-0.21956795469719875
1.42e-06,-0.22109938211981145
1.43e-06,-0.2226302645468094
1.44e-06,-0.2241605982046668
1.45e-06,-0.22569037932121064
1.46e-06,-0.2272196041256298
1.4700000000000001e-06,-0.22874826884848448
1.48e-06,-0.23027636972171542
1.4900000000000001e-06,-0.23180390297865328
1.5e-06,-0.2333308648540278
1.51e-06,-0.23485725158397708
1.52e-06,-0.23638305940605703
1.53e-06,-0.23790828455925048
1.54e-06,-0.23943292328397647
1.55e-06,-0.24095697182209966
1.56e-06,-0.24248042641693934
1.57e-06,-0.2440032833132789
1.5800000000000001e-06,-0.245525538757375
1.59e-06,-0.2470471889969669
1.6e-06,-0.24856823028128555
1.61e-06,-0.250088658861063
1.62e-06,-0.2516084709885416
1.63e-06,-0.2531276629174832
1.64e-06,-0.25464623090317823
1.65e-06,-0.25616417120245544
1.66e-06,-0.2576814800736905
1.67e-06,-0.25919815377681554
1.68e-06,-0.2607141885733285
1.6900000000000001e-06,-0.2622295807263021
1.7e-06,-0.26374432650039303
1.71e-06,-0.2652584221618514
1.72e-06,-0.26677186397852976
1.73e-06,-0.26828464821989234
1.74e-06,-0.2697967711570243
1.75e-06,-0.2713082290626407
1.76e-06,-0.2728190182110961
1.77e-06,-0.27432913487839333
1.7800000000000001e-06,-0.27583857534219286
1.79e-06,-0.2773473358818221
1.8000000000000001e-06,-0.27885541277828424
1.81e-06,-0.28036280231426775
1.82e-06,-0.28186950077415535
1.83e-06,-0.2833755044440331
1.84e-06,-0.2848808096116999
1.85e-06,-0.28638541256667627
1.86e-06,-0.28788930960021364
1.87e-06,-0.28939249700530345
1.88e-06,-0.2908949710766865
1.8900000000000001e-06,-0.29239672811086176
1.9e-06,-0.29389776440609566
1.91e-06,-0.29539807626243125
1.9200000000000003e-06,-0.29689765998169726
1.93e-06,-0.2983965118675173
1.94e-06,-0.29989462822531876
1.95e-06,-0.3013920053623422
1.96e-06,-0.3028886395876501
1.97e-06,-0.30438452721213644
1.98e-06,-0.3058796645485354
1.99e-06,-0.30737404791143047
2e-06,-0.3088676736172638
2.0100000000000002e-06,-0.31036053798434504
2.02e-06,-0.3118526373328605
2.03e-06,-0.31334396798488223
2.04e-06,-0.3148345262643771
2.05e-06,-0.31632430849721554
2.06e-06,-0.3178133110111814
2.07e-06,-0.31930153013598
2.08e-06,-0.320788962203248
2.09e-06,-0.3222756035465619
2.1000000000000002e-06,-0.32376145050144733
2.11e-06,-0.3252464994053882
2.12e-06,-0.3267307465978353
2.13e-06,-0.32821418842021577
2.14e-06,-0.32969682121594196
2.15e-06,-0.33117864133042013
2.16e-06,-0.3326596451110601
2.17e-06,-0.3341398289072837
2.18e-06,-0.33561918907053406
2.19e-06,-0.33709772195428445
2.2e-06,-0.3385754239140474
2.21e-06,-0.3400522913073835
2.22e-06,-0.3415283204939106
2.2300000000000002e-06,-0.34300350783531264
2.24e-06,-0.3444778496953486
2.25e-06,-0.3459513424398616
2.26e-06,-0.34742398243678774
2.27e-06,-0.34889576605616507
2.28e-06,-0.35036668967014256
2.29e-06,-0.3518367496529891
2.3e-06,-0.35330594238110236
2.31e-06,-0.35477426423301756
2.3200000000000002e-06,-0.3562417115894168
2.33e-06,-0.35770828083313777
2.34e-06,-0.35917396834918236
2.35e-06,-0.3606387705247261
2.36e-06,-0.36210268374912685
2.37e-06,-0.36356570441393354
2.38e-06,-0.3650278289128953
2.39e-06,-0.3664890536419702
2.4e-06,-0.3679493749993342
2.4100000000000002e-06,-0.36940878938539007
2.42e-06,-0.3708672932027761
2.43e-06,-0.3723248828563751
2.44e-06,-0.3737815547533233
2.4500000000000003e-06,-0.375237305303019
2.46e-06,-0.37669213091713183
2.47e-06,-0.378146028009611
2.48e-06,-0.37959899299669464
2.49e-06,-0.3810510222969185
2.5e-06,-0.3825021123311247
2.51e-06,-0.3839522595224704
2.52e-06,-0.38540146029643724
2.53e-06,-0.3868497110808392
2.5400000000000002e-06,-0.3882970083058323
2.55e-06,-0.38974334840392283
2.56e-06,-0.39118872780997643
2.57e-06,-0.39263314296122676
2.58e-06,-0.39407659029728426
2.59e-06,-0.39551906626014505
2.6e-06,-0.3969605672941996
2.61e-06,-0.3984010898462415
2.62e-06,-0.3998406303654761
2.6300000000000002e-06,-0.40127918530352974
2.64e-06,-0.40271675111445776
2.65e-06,-0.4041533242547539
2.66e-06,-0.4055889011833587
2.67e-06,-0.40702347836166825
2.68e-06,-0.408457052253543
2.69e-06,-0.4098896193253164
2.7e-06,-0.41132117604580376
2.71e-06,-0.41275171888631074
2.7200000000000002e-06,-0.414181244320642
2.73e-06,-0.4156097488251104
2.74e-06,-0.41703722887854505
2.75e-06,-0.41846368096230036
2.7600000000000003e-06,-0.4198891015602646
2.77e-06,-0.4213134871588685
2.78e-06,-0.42273683424709424
2.79e-06,-0.42415913931648364
2.8e-06,-0.42558039886114707
2.81e-06,-0.4270006093777721
2.82e-06,-0.42841976736563203
2.83e-06,-0.4298378693265946
2.84e-06,-0.43125491176513064
2.8500000000000002e-06,-0.4326708911883226
2.86e-06,-0.4340858041058731
2.87e-06,-0.43549964703011373
2.88e-06,-0.4369124164760136
2.89e-06,-0.43832410896118773
2.9e-06,-0.4397347210059059
2.91e-06,-0.4411442491331009
2.92e-06,-0.44255268986837765
2.93e-06,-0.4439600397400211
2.9400000000000002e-06,-0.4453662952790053
2.95e-06,-0.4467714530190016
2.96e-06,-0.44817550949638757
2.97e-06,-0.44957846125025513
2.9800000000000003e-06,-0.45098030482241935
2.99e-06,-0.4523810367574269
3e-06,-0.4537806536025646
3.01e-06,-0.4551791519078677
3.02e-06,-0.45657652822612876
3.0300000000000002e-06,-0.457972779112906
3.04e-06,-0.4593679011265317
3.05e-06,-0.4607618908281206
3.06e-06,-0.46215474478157875
3.0700000000000003e-06,-0.46354645955361157
3.08e-06,-0.4649370317137325
3.09e-06,-0.4663264578342717
3.1e-06,-0.4677147344903838
3.11e-06,-0.4691018582600571
3.12e-06,-0.47048782572412173
3.13e-06,-0.47187263346625774
3.14e-06,-0.4732562780730041
3.15e-06,-0.4746387561337667
3.1600000000000002e-06,-0.47602006424082693
3.17e-06,-0.47740019898935004
3.18e-06,-0.4787791569773936
3.19e-06,-0.4801569348059156
3.2e-06,-0.4815335290787833
3.21e-06,-0.48290893640278115
3.22e-06,-0.4842831533876195
3.23e-06,-0.48565617664594274
3.24e-06,-0.4870280027933377
3.2500000000000002e-06,-0.4883986284483421
3.26e-06,-0.4897680502324526
3.27e-06,-0.49113626477013367
3.28e-06,-0.49250326868882516
3.2900000000000003e-06,-0.4938690586189513
3.3e-06,-0.4952336311939286
3.31e-06,-0.4965969830501743
3.32e-06,-0.4979591108271148
3.33e-06,-0.4993200111671933
3.34e-06,-0.5006796807158791
3.35e-06,-0.5020381161216749
3.36e-06,-0.5033953140361258
3.37e-06,-0.5047512711138271
3.3800000000000002e-06,-0.5061059840124327
3.39e-06,-0.5074594493926631
3.4e-06,-0.5088116639183143
3.41e-06,-0.5101626242562654
3.42e-06,-0.5115123270764865
3.43e-06,-0.5128607690520482
3.44e-06,-0.5142079468591285
3.45e-06,-0.5155538571770217
3.46e-06,-0.5168984966881462
3.4700000000000002e-06,-0.518241862078053
3.48e-06,-0.5195839500354336
3.49e-06,-0.5209247572521284
3.5e-06,-0.5222642804231347
3.5100000000000003e-06,-0.523602516246615
3.52e-06,-0.5249394614239048
3.53e-06,-0.5262751126595211
3.54e-06,-0.5276094666611704
3.55e-06,-0.5289425201397567
3.5600000000000002e-06,-0.5302742698093899
3.57e-06,-0.5316047123873934
3.58e-06,-0.5329338445943128
3.59e-06,-0.5342616631539235
3.6000000000000003e-06,-0.535588164793239
3.61e-06,-0.536913346242519
3.62e-06,-0.5382372042352771
3.63e-06,-0.5395597355082896
3.64e-06,-0.5408809368016027
3.65e-06,-0.5422008048585409
3.66e-06,-0.5435193364257155
3.67e-06,-0.5448365282530316
3.68e-06,-0.5461523770936969
3.6900000000000002e-06,-0.5474668797042296
3.7e-06,-0.5487800328444662
3.71e-06,-0.5500918332775692
3.72e-06,-0.551402277770036
3.7300000000000003e-06,-0.552711363091706
3.74e-06,-0.554019086015769
3.75e-06,-0.5553254433187728
3.76e-06,-0.5566304317806314
3.77e-06,-0.5579340481846333
3.7800000000000002e-06,-0.5592362893174487
3.79e-06,-0.5605371519691376
3.8e-06,-0.5618366329331582
3.81e-06,-0.5631347290063743
3.82e-06,-0.5644314369890634
3.83e-06,-0.5657267536849246
3.8400000000000005e-06,-0.5670206759010864
3.85e-06,-0.5683132004481145
3.86e-06,-0.5696043241400198
3.87e-06,-0.5708940437942664
3.88e-06,-0.5721823562317792
3.89e-06,-0.5734692582769516
3.9e-06,-0.5747547467576536
3.91e-06,-0.5760388185052397
3.92e-06,-0.5773214703545564
3.9300000000000005e-06,-0.5786026991439502
3.94e-06,-0.5798825017152754
3.95e-06,-0.5811608749139018
3.96e-06,-0.5824378155887225
3.97e-06,-0.5837133205921616
3.98e-06,-0.5849873867801824
3.99e-06,-0.5862600110122941
4e-06,-0.5875311901515609
4.01e-06,-0.5888009210646087
4.0200000000000005e-06,-0.5900692006216333
4.03e-06,-0.591336025696408
4.04e-06,-0.5926013931662913
4.05e-06,-0.5938652999122346
4.06e-06,-0.5951277428187897
4.07e-06,-0.596388718774117
4.08e-06,-0.5976482246699928
4.09e-06,-0.5989062574018166
4.1e-06,-0.6001628138686195
4.1100000000000005e-06,-0.6014178909730715
4.12e-06,-0.6026714856214891
4.13e-06,-0.6039235947238428
4.14e-06,-0.6051742151937651
4.15e-06,-0.6064233439485579
4.16e-06,-0.6076709779091997
4.17e-06,-0.608917114000354
4.18e-06,-0.6101617491503761
4.19e-06,-0.6114048802913215
4.2000000000000004e-06,-0.6126465043589524
4.21e-06,-0.6138866182927463
4.22e-06,-0.6151252190359028
4.23e-06,-0.6163623035353516
4.24e-06,-0.6175978687417597
4.25e-06,-0.6188319116095393
4.26e-06,-0.6200644290968547
4.27e-06,-0.6212954181656305
4.28e-06,-0.6225248757815585
4.2900000000000004e-06,-0.6237527989141054
4.3e-06,-0.6249791845365208
4.31e-06,-0.6262040296258434
4.32e-06,-0.62742733116291
4.33e-06,-0.6286490861323616
4.34e-06,-0.6298692915226516
4.35e-06,-0.6310879443260529
4.36e-06,-0.6323050415386654
4.3700000000000005e-06,-0.6335205801604238
4.38e-06,-0.6347345571951042
4.39e-06,-0.6359469696503322
4.4e-06,-0.6371578145375896
4.41e-06,-0.6383670888722227
4.42e-06,-0.6395747896734486
4.43e-06,-0.6407809139643633
4.44e-06,-0.6419854587719489
4.45e-06,-0.6431884211270805
4.4600000000000005e-06,-0.6443897980645343
4.47e-06,-0.645589586622994
4.48e-06,-0.6467877838450588
4.49e-06,-0.6479843867772503
4.5e-06,-0.6491793924700201
4.51e-06,-0.6503727979777567
4.52e-06,-0.651564600358793
4.53e-06,-0.6527547966754138
4.54e-06,-0.6539433839938623
4.5500000000000005e-06,-0.6551303593843479
4.56e-06,-0.6563157199210536
4.57e-06,-0.6574994626821425
4.58e-06,-0.6586815847497657
4.59e-06,-0.6598620832100689
4.6e-06,-0.6610409551532003
4.61e-06,-0.6622181976733169
4.62e-06,-0.6633938078685926
4.63e-06,-0.6645677828412245
4.6400000000000005e-06,-0.6657401196974406
4.65e-06,-0.6669108155475068
4.66e-06,-0.6680798675057336
4.67e-06,-0.669247272690484
4.68e-06,-0.6704130282241801
4.69e-06,-0.6715771312333103
4.7e-06,-0.6727395788484362
4.71e-06,-0.6739003682041999
4.72e-06,-0.6750594964393309
4.7300000000000005e-06,-0.6762169606966538
4.74e-06,-0.6773727581230942
4.75e-06,-0.6785268858696863
4.76e-06,-0.6796793410915806
4.77e-06,-0.6808301209480495
4.78e-06,-0.6819792226024954
4.79e-06,-0.6831266432224576
4.8e-06,-0.6842723799796188
4.81e-06,-0.685416430049812
4.8200000000000004e-06,-0.6865587906130284
4.83e-06,-0.6876994588534232
4.84e-06,-0.6888384319593236
4.85e-06,-0.6899757071232345
4.86e-06,-0.6911112815418468
4.87e-06,-0.6922451524160431
4.88e-06,-0.6933773169509054
4.89e-06,-0.6945077723557218
4.9000000000000005e-06,-0.695636515843993
4.9100000000000004e-06,-0.6967635446334397
4.92e-06,-0.6978888559460091
4.93e-06,-0.6990124470078821
4.94e-06,-0.7001343150494794
4.95e-06,-0.7012544573054694
4.96e-06,-0.7023728710147741
4.97e-06,-0.7034895534205763
4.98e-06,-0.7046045017703265
4.9900000000000005e-06,-0.7057177133157495
5e-06,-0.706829185312851
5.01e-06,-0.7079389150219247
5.02e-06,-0.7090468997075593
5.03e-06,-0.7101531366386441
5.04e-06,-0.7112576230883773
5.05e-06,-0.7123603563342711
5.06e-06,-0.71346133365816
5.07e-06,-0.7145605523462063
5.0800000000000005e-06,-0.7156580096889075
5.09e-06,-0.7167537029811022
5.1e-06,-0.717847629521978
5.11e-06,-0.7189397866150767
5.12e-06,-0.7200301715683023
5.13e-06,-0.7211187816939266
5.14e-06,-0.7222056143085962
5.15e-06,-0.7232906667333396
5.16e-06,-0.7243739362935728
5.1700000000000005e-06,-0.7254554203191068
5.18e-06,-0.7265351161441538
5.19e-06,-0.7276130211073336
5.2e-06,-0.7286891325516806
5.21e-06,-0.7297634478246499
5.22e-06,-0.7308359642781241
5.23e-06,-0.73190667926842
5.24e-06,-0.7329755901562944
5.25e-06,-0.7340426943069517
5.2600000000000005e-06,-0.7351079890900494
5.27e-06,-0.7361714718797049
5.28e-06,-0.7372331400545024
5.29e-06,-0.7382929909974987
5.3e-06,-0.73935102209623
5.31e-06,-0.7404072307427186
5.32e-06,-0.7414616143334787
5.33e-06,-0.7425141702695232
5.34e-06,-0.74356489595637
5.3500000000000004e-06,-0.7446137888040487
5.36e-06,-0.7456608462271065
5.37e-06,-0.7467060656446148
5.38e-06,-0.7477494444801758
5.39e-06,-0.7487909801619284
5.4e-06,-0.7498306701225546
5.41e-06,-0.7508685117992864
5.42e-06,-0.7519045026339114
5.4300000000000005e-06,-0.7529386400727794
5.4400000000000004e-06,-0.753970921566809
5.45e-06,-0.7550013445714931
5.46e-06,-0.7560299065469063
5.47e-06,-0.7570566049577098
5.48e-06,-0.7580814372731588
5.49e-06,-0.7591044009671083
5.5e-06,-0.7601254935180193
5.51e-06,-0.7611447124089648
5.5200000000000005e-06,-0.7621620551276365
5.53e-06,-0.7631775191663507
5.54e-06,-0.7641911020220545
5.55e-06,-0.7652028011963321
5.56e-06,-0.7662126141954106
5.57e-06,-0.7672205385301666
5.58e-06,-0.7682265717161322
5.59e-06,-0.7692307112735008
5.6e-06,-0.7702329547271337
5.6100000000000005e-06,-0.7712332996065658
5.62e-06,-0.7722317434460122
5.63e-06,-0.7732282837843734
5.64e-06,-0.7742229181652421
5.65e-06,-0.7752156441369097
5.66e-06,-0.7762064592523706
5.67e-06,-0.7771953610693302
5.68e-06,-0.7781823471502097
5.69e-06,-0.7791674150621526
5.7000000000000005e-06,-0.7801505623770303
5.71e-06,-0.7811317866714487
5.72e-06,-0.7821110855267535
5.73e-06,-0.7830884565290367
5.74e-06,-0.7840638972691424
5.75e-06,-0.7850374053426723
5.76e-06,-0.7860089783499924
5.77e-06,-0.7869786138962384
5.78e-06,-0.7879463095913215
5.7900000000000005e-06,-0.7889120630499348
5.8e-06,-0.7898758718915586
5.81e-06,-0.790837733740467
5.82e-06,-0.7917976462257327
5.83e-06,-0.7927556069812339
5.84e-06,-0.7937116136456596
5.85e-06,-0.7946656638625155
5.86e-06,-0.7956177552801297
5.87e-06,-0.7965678855516587
5.8800000000000005e-06,-0.7975160523350932
5.89e-06,-0.7984622532932636
5.9e-06,-0.7994064860938459
5.91e-06,-0.8003487484093679
5.92e-06,-0.8012890379172138
5.93e-06,-0.8022273522996314
5.94e-06,-0.8031636892437364
5.95e-06,-0.8040980464415193
5.9600000000000005e-06,-0.80503042158985
5.9700000000000004e-06,-0.8059608123904848
5.98e-06,-0.8068892165500704
5.99e-06,-0.8078156317801509
6e-06,-0.8087400557971731
6.01e-06,-0.8096624863224918
6.02e-06,-0.8105829210823756
6.03e-06,-0.8115013578080126
6.04e-06,-0.812417794235516
6.0500000000000005e-06,-0.8133322281059295
6.0600000000000004e-06,-0.8142446571652331
6.07e-06,-0.8151550791643483
6.08e-06,-0.816063491859144
6.09e-06,-0.816969893010442
6.1e-06,-0.8178742803840223
6.11e-06,-0.818776651750629
6.12e-06,-0.819677004885975
6.13e-06,-0.8205753375707483
6.1400000000000005e-06,-0.8214716475906173
6.15e-06,-0.822365932736236
6.16e-06,-0.8232581908032497
6.17e-06,-0.8241484195923002
6.18e-06,-0.8250366169090312
6.19e-06,-0.8259227805640942
6.2e-06,-0.8268069083731532
6.21e-06,-0.8276889981568906
6.22e-06,-0.8285690477410125
6.2300000000000005e-06,-0.8294470549562537
6.24e-06,-0.8303230176383836
6.25e-06,-0.8311969336282109
