Time,Input,Output
0,0,0
2.00E-09,0,-0.020833334
4.00E-09,0.020833334,0
6.00E-09,0,0
8.00E-09,0,0
1.00E-08,0.020833334,-0.020833334
1.20E-08,0,0
1.40E-08,0,0
1.60E-08,0,0
1.80E-08,0,-0.020833334
2.00E-08,0,-0.020833334
2.20E-08,0,-0.020833334
2.40E-08,0.020833334,0
2.60E-08,0,-0.020833334
2.80E-08,0,0
3.00E-08,0,0
3.20E-08,0.020833334,0
3.40E-08,0.020833334,-0.020833334
3.60E-08,0,-0.020833334
3.80E-08,0,0
4.00E-08,0.020833334,0
4.20E-08,0,-0.020833334
4.40E-08,0.020833334,0
4.60E-08,0,-0.020833334
4.80E-08,0,0
5.00E-08,0,-0.020833334
5.20E-08,0,0
5.40E-08,0,-0.020833334
5.60E-08,0,0
5.80E-08,0,0
6.00E-08,0,0
6.20E-08,0,-0.020833334
6.40E-08,0,0
6.60E-08,0.020833334,-0.020833334
6.80E-08,0,0
7.00E-08,0,-0.020833334
7.20E-08,0,0
7.40E-08,0,-0.020833334
7.60E-08,0,-0.020833334
7.80E-08,0,-0.020833334
8.00E-08,0,0
8.20E-08,0,0
8.40E-08,0,0
8.60E-08,0,-0.020833334
8.80E-08,0,-0.020833334
9.00E-08,0,-0.020833334
9.20E-08,0.020833334,0
9.40E-08,-0.020833334,-0.020833334
9.60E-08,0,-0.020833334
9.80E-08,0,-0.020833334
1.00E-07,0,0
1.02E-07,0,0
1.04E-07,0,0
1.06E-07,0,0
1.08E-07,0,0
1.10E-07,0,0
1.12E-07,0,0
1.14E-07,0,-0.020833334
1.16E-07,0,0
1.18E-07,0.020833334,-0.020833334
1.20E-07,0.020833334,0
1.22E-07,0.020833334,-0.020833334
1.24E-07,0.020833334,-0.020833334
1.26E-07,0,-0.020833334
1.28E-07,0,0
1.30E-07,0.020833334,0
1.32E-07,0,0
1.34E-07,0,-0.020833334
1.36E-07,0,0
1.38E-07,0.020833334,0
1.40E-07,0,0
1.42E-07,0,0
1.44E-07,0,0
1.46E-07,0.020833334,-0.020833334
1.48E-07,-0.020833334,0
1.50E-07,0.020833334,-0.020833334
1.52E-07,0.020833334,0
1.54E-07,0,-0.020833334
1.56E-07,0.020833334,0
1.58E-07,0,-0.020833334
1.60E-07,0,0
1.62E-07,0,0
1.64E-07,0.020833334,0
1.66E-07,0,0
1.68E-07,0.020833334,0
1.70E-07,0,-0.020833334
1.72E-07,0.020833334,0
1.74E-07,0,0
1.76E-07,0,0
1.78E-07,0,-0.020833334
1.80E-07,0.020833334,0
1.82E-07,0,0
1.84E-07,0,0
1.86E-07,0,-0.020833334
1.88E-07,0.020833334,0
1.90E-07,0,0
1.92E-07,0,0
1.94E-07,0.020833334,-0.020833334
1.96E-07,0,0
1.98E-07,0,-0.020833334
2.00E-07,0.020833334,0
2.02E-07,0.020833334,-0.020833334
2.04E-07,0,0
2.06E-07,0.020833334,0
2.08E-07,0,-0.020833334
2.10E-07,0.020833334,0
2.12E-07,0,0
2.14E-07,0,0
2.16E-07,0,0
2.18E-07,0.020833334,-0.020833334
2.20E-07,0.020833334,0
2.22E-07,0.020833334,0
2.24E-07,0,0
2.26E-07,0.020833334,0
2.28E-07,0.020833334,0
2.30E-07,0,0
2.32E-07,0.020833334,0
2.34E-07,0.020833334,-0.020833334
2.36E-07,0.020833334,-0.020833334
2.38E-07,0,0
2.40E-07,0.020833334,0
2.42E-07,0,-0.020833334
2.44E-07,0,0
2.46E-07,0,-0.020833334
2.48E-07,0,0
2.50E-07,0.020833334,-0.020833334
2.52E-07,0.020833334,0
2.54E-07,0,0
2.56E-07,0.020833334,0
2.58E-07,0,-0.020833334
2.60E-07,0,0
2.62E-07,0.020833334,0
2.64E-07,0.020833334,0
2.66E-07,0.020833334,-0.020833334
2.68E-07,0,0
2.70E-07,-0.020833334,-0.020833334
2.72E-07,0,0
2.74E-07,0,-0.020833334
2.76E-07,0,-0.020833334
2.78E-07,0,-0.020833334
2.80E-07,0,-0.020833334
2.82E-07,0.020833334,-0.020833334
2.84E-07,0.020833334,0
2.86E-07,0.020833334,-0.020833334
2.88E-07,0.020833334,0
2.90E-07,0.020833334,-0.020833334
2.92E-07,0,0
2.94E-07,0,-0.020833334
2.96E-07,0.020833334,-0.020833334
2.98E-07,0,-0.020833334
3.00E-07,0,0
3.02E-07,0.020833334,-0.020833334
3.04E-07,0.020833334,0
3.06E-07,0.020833334,0
3.08E-07,0,0
3.10E-07,0,0
3.12E-07,0.020833334,-0.020833334
3.14E-07,0,-0.020833334
3.16E-07,0,0
3.18E-07,0.020833334,-0.020833334
3.20E-07,0.020833334,0
3.22E-07,0,-0.020833334
3.24E-07,0,0
3.26E-07,0.020833334,0
3.28E-07,0.020833334,0
3.30E-07,0,-0.020833334
3.32E-07,0,0
3.34E-07,0.020833334,-0.020833334
3.36E-07,0,0
3.38E-07,0.020833334,0
3.40E-07,0,0
3.42E-07,0,0
3.44E-07,0,0.020833334
3.46E-07,0,0
3.48E-07,0.020833334,0
3.50E-07,0,-0.020833334
3.52E-07,0.020833334,0
3.54E-07,0.020833334,0
3.56E-07,0,0
3.58E-07,0,0
3.60E-07,0,0
3.62E-07,0,-0.020833334
3.64E-07,0,0
3.66E-07,0,-0.020833334
3.68E-07,0.020833334,0
3.70E-07,0.020833334,-0.020833334
3.72E-07,0,0
3.74E-07,0,0
3.76E-07,0,0
3.78E-07,0,0
3.80E-07,0.020833334,0
3.82E-07,0.020833334,-0.020833334
3.84E-07,0,0.020833334
3.86E-07,0.020833334,-0.020833334
3.88E-07,0,0
3.90E-07,0,-0.020833334
3.92E-07,0,0
3.94E-07,0.020833334,-0.020833334
3.96E-07,0,0
3.98E-07,0.020833334,0
4.00E-07,0.020833334,0
4.02E-07,0,-0.020833334
4.04E-07,0,0
4.06E-07,0,-0.020833334
4.08E-07,0,0
4.10E-07,0.020833334,-0.020833334
4.12E-07,0,0
4.14E-07,0.020833334,0
4.16E-07,0,0
4.18E-07,0.020833334,0
4.20E-07,0.020833334,0
4.22E-07,0,0
4.24E-07,0.020833334,0
4.26E-07,0,0
